COMPOSIÇÃO DOS CUSTOS UNITÁRIOS DOS SERVIÇOS;;;;;;;;;;;
PROPONENTE: VIA MAGNA INFRAESTRUTURA LTDA;;;;;;;;;;;
RODOVIA: ;MS-345 (LOTE 3);TRECHO:;ENTR. BR-419/MS - BONITO;;;;;SUBTRECHO:;EST. 2605+00,000 a 3742+00,000;;
ITEM:; AGC8510001           ;;;;;;;;;;
DESCRIÇÃO DO SERVIÇO:;;;;;;;;;DATA BASE:;JANEIRO-2021;
Fornecimento e implantação de placa de obra em chapa de aço galvanizado ;;;;;;;;;UNIDADE:;m²    ;
A - EQUIPAMENTOS;;;;;QUANT.;UTILIZAÇÃO;;CUSTO OPERACIONAL;;"CUSTO 
HORÁRIO TOTAL";
;;;;;;OPERATIVA;IMPROD;OPERATIVO;IMPROD;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CUSTO HORÁRIO TOTAL DE EQUIPAMENTOS;;;;;;;;;;;
B - MÃO DE OBRA;;;;;;;QUANT.;UNIDADE;CUSTO HORÁRIO;"CUSTO 
HORÁRIO TOTAL";
;;;;;;;;;;;
P9808          ;CARPINTEIRO ;;;;;;1,00000;H     ; 22,7576 ; 22,7576 ;
P9824          ;SERVENTE ;;;;;;2,00000;H     ; 17,4313 ; 34,8626 ;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;CUSTO HORÁRIO TOTAL DE MÃO DE OBRA;;;;;;; 57,6202 ;
PRODUÇÃO DA EQUIPE;; 1,00000 ;CUSTO HORÁRIO TOTAL DE EXECUÇÃO;;;;;;; 57,6202 ;
;;;CUSTO UNITÁRIO DE EXECUÇÃO;;;;;;; 57,6202 ;
;;;;;;;;Custo FIC;         ; -   ;
;;;;;;;;Custo FIT;         ; -   ;
C - MATERIAIS;;;;;;QUANTIDADE;;UNIDADE;PREÇO UNITÁRIO;"CUSTO 
UNITÁRIO";
;;;;;;;;;;;
M0284          ;CAIBRO DE PINHO DE 7,5 X 7,5 CM ;;;;;4,00000;;M     ; 14,9093 ; 59,6372 ;
M0289          ;TÁBUA DE 2,5 X 15 CM ;;;;;1,00000;;M     ; 3,0387 ; 3,0387 ;
M1205          ;PREGO DE FERRO ;;;;;0,11000;;KG    ; 11,9977 ; 1,3197 ;
IM9003         ;PLACA DE OBRA EM CHAPA DE AÇO GALVANIZADO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;;;;;1,00000;;M2    ; 300,0000 ; 300,0000 ;
;;;;;;;;;;;
CUSTO UNITÁRIO TOTAL DE MATERIAL;;;;;;;;;; 363,9956 ;
D - ATIVIDADES AUXILIARES;;;;;;QUANTIDADE;;UNIDADE;PREÇO UNITÁRIO;"CUSTO 
UNITÁRIO";
;;;;;;;;;;;
1106057        ;CONCRETO MAGRO - CONFECÇÃO EM BETONEIRA E LANÇAMENTO MANUAL - AREIA E BRITA COMERCIAIS ;;;;;0,01000;;M³    ; 357,5600 ; 3,5756 ;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CUSTO TOTAL DE ATIVIDADES AUXILIARES;;;;;;;;;; 3,5756 ;
E -TEMPO FIXO;;;;;;QUANTIDADE;;UNIDADE;PREÇO UNITÁRIO;"CUSTO 
UNITÁRIO";
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CUSTO UNITÁRIO TOTAL DE TEMPO FIXO;;;;;;;;;;;
